sgRNA	Gene	base	base	low	low	high	high
NEGCTRL_3	NEGCTRL	2.8873916691183568	2.8873916691183568	0.0	3.456206722407014	0.0	0.0
POSCTRL_2	POSCTRL	15.158806262871373	15.158806262871373	48.721739941811435	232.71791930873894	21.89971443717335	24.577470026005432
RAB_1	RAB	33.92685211214069	33.92685211214069	72.55302578291486	52.995169743574216	1029.2865785471474	172.04229018203802
RAB_2	RAB	25.264677104785623	25.264677104785623	27.008790619917207	17.28103361203507	383.24500265053365	55.299307558512226
TRIM28_1	TRIM28	16.602502097430552	16.602502097430552	60.90217492726429	306.45032938675524	0.0	0.0
PARK2_5	PARK2	28.873916691183567	28.873916691183567	1.5887523894068947	4.608275629876019	1346.8324378861612	847.9227158971875
RAB_4	RAB	17.32435001471014	17.32435001471014	37.070889086160875	18.433102519504075	131.39828662304012	18.433102519504075
POSCTRL_4	POSCTRL	25.986525022065212	25.986525022065212	83.14470837896081	96.7737882273964	21.89971443717335	6.144367506501358
POSCTRL_3	POSCTRL	34.64870002942028	34.64870002942028	74.14177817232175	34.56206722407014	0.0	0.0
POSCTRL_1	POSCTRL	33.205004194861104	33.205004194861104	70.96427339350795	178.57068065769573	98.54871496728008	55.299307558512226
TRIM28_3	TRIM28	17.32435001471014	17.32435001471014	73.08260991271715	329.4917075361353	21.89971443717335	24.577470026005432
PARK2_1	PARK2	18.04619793198973	18.04619793198973	0.5295841298022982	0.0	1324.9327234489876	116.7429826235258
POSCTRL_5	POSCTRL	28.873916691183567	28.873916691183567	123.39310224393547	211.98067897429686	0.0	0.0
TRIM28_5	TRIM28	30.317612525742746	30.317612525742746	125.51143876314467	139.40033780374958	10.949857218586676	0.0
NEGCTRL_2	NEGCTRL	17.32435001471014	17.32435001471014	0.0	0.0	10.949857218586676	0.0
NEGCTRL_5	NEGCTRL	20.211741683828496	20.211741683828496	0.0	0.0	0.0	0.0
NEGCTRL_1	NEGCTRL	31.761308360301925	31.761308360301925	3.1775047788137893	2.3041378149380094	0.0	0.0
RAB_5	RAB	10.827718759193838	10.827718759193838	5.82542542782528	19.58517142697308	328.49571655760025	258.06343527305705
PARK2_2	PARK2	28.152068773903977	28.152068773903977	0.5295841298022982	1.1520689074690047	930.7378635798674	344.08458036407603
TRIM28_2	TRIM28	10.105870841914248	10.105870841914248	42.896314513986155	188.93930082491676	10.949857218586676	6.144367506501358
TRIM28_4	TRIM28	10.105870841914248	10.105870841914248	47.132987552404536	341.01239661082536	10.949857218586676	12.288735013002716
PARK2_3	PARK2	12.993262511032606	12.993262511032606	0.5295841298022982	3.456206722407014	635.0917186780272	854.0670834036888
NEGCTRL_4	NEGCTRL	4.331087503677535	4.331087503677535	0.0	0.0	0.0	6.144367506501358
RAB_3	RAB	5.052935420957124	5.052935420957124	16.417108023871243	119.81516637677649	229.94700159032018	387.0951529095856
PARK2_4	PARK2	17.32435001471014	17.32435001471014	1.0591682596045964	2.3041378149380094	1149.735007951601	860.2114509101901
