sgRNA	Gene	base	low	high
NEGCTRL_3	NEGCTRL	2.9084796019827586	0.0	0.0
POSCTRL_2	POSCTRL	15.269517910409483	57.54601261037816	18.309463885680483
RAB_1	RAB	34.174635323297416	85.69351877849792	860.5448026269827
RAB_2	RAB	25.449196517349137	31.90050699053572	320.4156179994084
TRIM28_1	TRIM28	16.72375771140086	71.9325157629727	0.0
PARK2_5	PARK2	29.084796019827586	1.8765004112079835	1126.0320289693498
RAB_4	RAB	17.45087761189655	43.78500959485295	109.85678331408289
POSCTRL_4	POSCTRL	26.176316417844827	98.20352151988448	18.309463885680483
POSCTRL_3	POSCTRL	34.9017552237931	87.5700191897059	0.0
POSCTRL_1	POSCTRL	33.44751542280172	83.81701836728993	82.39258748556217
TRIM28_3	TRIM28	17.45087761189655	86.31901891556724	18.309463885680483
PARK2_1	PARK2	18.177997512392242	0.6255001370693278	1107.7225650836692
POSCTRL_5	POSCTRL	29.084796019827586	145.74153193715338	0.0
TRIM28_5	TRIM28	30.539035820818967	148.2435324854307	9.154731942840241
NEGCTRL_2	NEGCTRL	17.45087761189655	0.0	9.154731942840241
NEGCTRL_5	NEGCTRL	20.35935721387931	0.0	0.0
NEGCTRL_1	NEGCTRL	31.993275621810344	3.753000822415967	0.0
RAB_5	RAB	10.906798507435344	6.880501507762606	274.64195828520724
PARK2_2	PARK2	28.357676119331895	0.6255001370693278	778.1522151414205
TRIM28_2	TRIM28	10.179678606939655	50.665511102615554	9.154731942840241
TRIM28_4	TRIM28	10.179678606939655	55.66951219917018	9.154731942840241
PARK2_3	PARK2	13.088158208922414	0.6255001370693278	530.974452684734
NEGCTRL_4	NEGCTRL	4.362719402974138	0.0	0.0
RAB_3	RAB	5.0898393034698275	19.390504249149163	192.24937079964508
PARK2_4	PARK2	17.45087761189655	1.2510002741386557	961.2468539982253
